sku;nome;prezzo_eur;disponibilita;categoria_principale;tutte_le_categorie;brand;descrizione_completa;specifiche;url_prodotto;immagini;numero_immagini
base-gelac-cheratin;Base Soak Off Gelac Cheratin;15.9;InStock;base-gel-semipermanente;promozioni-del-mese | base-gel-semipermanente;HDNails;"Base Gelac Cheratina

Base per semipermanente: Base gelac cheratina soak off, ristruttura le unghie naturali, inoltre ottimo anche da utilizzare come base gel nelle unghie problematiche, molto fragili e sfaldate. Ha un ottima durata di 3/4 settimane e risultati visibili già dalla prima applicazione. Il Gelac HD Nails è un’incredibile novità perché svolge un'azione riparatoria oltre che quella di base gel: dura come un gel ma si applica come uno smalto! Base gel Soak-off per Smalto semipermanente e gel da ricostruzione . Questo prodotto è una base gel eccezionale che serve per migliorare l'adesione del gel costruttore.  Da applicare dopo il primer e/o base proteina se è neccessario . Garantisce una lunga durata alla ricostruzione delle unghie senza far comparire le bolle d'aria e creare i sollevamenti tra l'unghia naturale e il gel base costruttore e monofasico. Ottimo come base per il semipermanente prima di applicare lo smalto semipermanente colorato

Metodo d'utilizzo:

Passo 1: Dopo aver fatto la manicure rimuovendo le cuticle in eccesso con il Cuticle remover , oppacizzate l'unghia naturale molto delicatamente con un buffer  180/240. Passo 2: Rimuovete la polvere con il deidratante Nail prep a spry e la vostra unghia sarà pronta per iniziare a dare la prima mano del Base Gelac Subito dopo la seconda mano, che consigliamo sempre se volete aver una maggior durata.  Passo 3: Senza sgrassare la dispersione potete stendere il vostro Colore semipermanente che avete scelto. (Vi consigliamo la nostra nuova linea di colori Gelac coprentissimi già con una sola passata) Passo 4: Dopodichè potete chiudere utlizzando il lucido a vostra scelta. Vi possiamo consigliare il Crystal gloss che è un lucido con dispersione  antigiallo, ottimo per colori chiari e french. Ugualmente il Glossy top lucido senza dispersione. Inoltre questo lucido lo potete utilizzare anche per la polvere chromata. Passo 5: Finalmente potete rimuovere la dispersione con lo sgrassatore Cleanser inodore

Metodo di Rimozione:

Opacizzate il lucido per rendere la superficie porosa e quindi possa penetrare meglio il prodotto fatte l'impacco con il Remover e chiudetelo con la carta stagnola. lasciatelo aggire per 10minuti. In fine rimuovete l'eccesso aiutandovi con un bastoncino d'arancio.

Tempi di Asciugatura: Polimerizza in lampada Led 60 sec Lampada Uv 120 sec.";;https://www.hdnails.it/base-soak-off-gelac-cheratin;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/b/a/base_soak.jpg;1
gel-monofasico-pro-white-cheratina;Gel Monofasico Pro White Cheratina - Gel Costruttore;19.21;OutOfStock;gel-da-ricostruzione/gel-cover-costruttori;gel-da-ricostruzione | gel-da-ricostruzione/gel-cover-costruttori;HDNails;"Gel Monofasico Pro white - Cheratina

Il gel PRO-WHITE è un gel monofasico autolivellante a bassa densità , perfetto per coperture naturali e refill rapidi. La sua texture fluida consente un'applicazione precisa e uniforme, riducendo al minimo la limatura . Ideale per refill corti e lavorazioni veloci in salone, garantisce un risultato pulito ed elegante in poco tempo. Utilizzabile anche senza base, ma per una maggiore aderenza si consigli di applicare Base Fiber .

🩶 Colore soft bianco lattiginoso , dall’effetto naturale e delicato, pensato per manicure babyboomer, look nude o da usare come base per nail art eleganti.

☀️❄️ Reattivo alla temperatura : come tutti gli autolivellanti, si adatta al clima. In estate diventa più fluido, mentre in inverno risulta leggermente più denso, mantenendo comunque un'ottima lavorabilità.

✅ Perfetto per:

Coperture su unghia naturale

Refill corti e medi

Effetto babyboomer soft

Base naturale sotto il colore";;https://www.hdnails.it/gel-monofasico-pro-white-cheratina-gel-costruttore;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa7792b0d.png;1
polvere-chrome-bronzo-06;Polvere Chrome Bronzo 06;5.7;InStock;nail-art-e-decorazioni/polvere-cromata-nail-art-e-decorazioni;nail-art-e-decorazioni | nail-art-e-decorazioni/polvere-cromata-nail-art-e-decorazioni;HDNails;"Polvere Chrome Bronzo 06
Polvere Chrome Bronzo 06 - La polvere cromata Cangiante Bronzo per la Nail Art. Questa Polvere Flakes è molto fine, si scioglie come polvere. Cambia tonalità in base al colore che metti sotto come base. Se si vuole ottenere l'effetto cromato a specchio utilizzate uno stratto di Gleam top , base senza dispersione per polvere cromata a effetto a specchio.
Modalità di applicazione:
Stendere la base senza dispersione Gleam top , consigliamo questa base perché catalizza in lampada lentamente. Far polimerizzare 30 sec. in lampada a Led uv. Applicare successiva- mente la polvere per creare l’effetto cromato, aiutatevi con un pennellino in gommapiuma, in alternativa potete utilizzare il dito con indoso il guanto monouso. E' importante prima di chiudere, limare leggermente tutto il bordo libero dell'unghia, In modo che il  gel lucido o il lucido a smalto che avete scelto si aggrappi bene alla base. Se siete abituate a chiudere con un gel, vi consiglio il Monofasico Master o Monofasico Unifast. Invece se Preferite chiudere con un lucido a smalto potete utilizzare il Glossy top , lucido perfetto per la sua densità leggermente denso. Inoltre se  volete potete anche applicare la polvere sopra al lucido non polimerizzato per creare l’effetto zucchero o brillantinato.";;https://www.hdnails.it/polvere-chrome-bronzo-06;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa891e5f9_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa894cbe0_1.jpg;2
polvere-chrome-azzurro-05;Polvere Chrome Azzurro 05;5.7;InStock;nail-art-e-decorazioni/polvere-cromata-nail-art-e-decorazioni;nail-art-e-decorazioni | nail-art-e-decorazioni/polvere-cromata-nail-art-e-decorazioni;HDNails;"Polvere Chrome Azzurro 05
Polvere Chrome Azzurro 05 - Questa polvere cromata Aurora Boreale da un R iflesso Azzurro per la Nail Art. Cambia tonalità in base al colore che metti sotto. Se si vuole ottenere l'effetto cromato a specchio utilizzate uno stratto di Gleam top , base senza dispersione per polvere cromata a effetto a specchio.
Modalità di applicazione:
Stendere la base senza dispersione Gleam top , consigliamo questa base perché catalizza in lampada lentamente. Far polimerizzare 30 sec. in lampada a Led uv. Applicare successiva- mente la polvere per creare l’effetto cromato, aiutatevi con un pennellino in gommapiuma, in alternativa potete utilizzare il dito con indosso il guanto monouso. E' importante prima di chiudere, limare leggermente tutto il bordo libero dell'unghia, In modo che il  gel lucido o il lucido a smalto che avete scelto si aggrappi bene alla base. Se siete abituate a chiudere con un gel, vi consiglio il Monofasico Master o Monofasico Unifast. Invece se Preferite chiudere con un lucido a smalto potete utilizzare il Glossy top , lucido perfetto per la sua densità leggermente denso. Inoltre se  volete potete anche applicare la polvere sopra al lucido non polimerizzato per creare l’effetto zucchero o brillantinato.";;https://www.hdnails.it/polvere-chrome-azzurro-05;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa8ba2d6e_1.jpg;1
base-extra-uv-led;Base Extra Clear;24.4;InStock;gel-da-ricostruzione/gel-in-bottiglia;gel-da-ricostruzione | base-gel-semipermanente | smalti-e-gel-hema-free | gel-da-ricostruzione/gel-in-bottiglia;HDNails;"Base extra Clear

HEMA TPO FREE
Trasparenza assoluta. Tenuta impeccabile.

La Base Extra Clear HD Nails è la scelta perfetta per chi desidera una base ultra trasparente, elastica e resistente, ideale per tutte le tecniche di semipermanente, copertura e rinforzo dell’unghia naturale.

✅ Formula autolivellante e facile da lavorare
✅ Extra aderente: massima tenuta anche sulle unghie più difficili
✅ Non ingiallisce, non altera il colore del semipermanente
✅ Polimerizza in 60 sec in lampada LED

Ideale anche per piccole bombature , sottili allungamenti e per garantire una stesura uniforme e senza bolle .";;https://www.hdnails.it/base-extra-clear;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa8d63478.png | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aa8d9efed_1.jpg;2
set-lime-adesive-120;Set Lime adesive 120;19.9;InStock;lime-buffer/lime-adesive;lime-buffer | lime-buffer/lime-adesive;HDNails;"Lime adesive 120 (senza supporto)

Lime adesive 120 (senza supporto) - KIT LimE monouso grana 120. 50 PZ

Grazie alla colla di ottima qualità si attacca perfettamente al supporto, diventando una perfetta lima.

Ottima per ricostruzione unghie o pedicure.

Lunga durata";;https://www.hdnails.it/set-lime-adesive-120;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_696094d718041.png;1
gelac-color-130;Smalto Semipermanente Gelac Color 130;4.99;InStock;smalti-semipermanenti/gelac-colors-smalti-semipermanenti;smalti-semipermanenti | saldi-al-50-e-piu | smalti-semipermanenti/gelac-colors-smalti-semipermanenti | smalti-semipermanenti/verdi-turchesi | smalti-semipermanenti/vedi-tutti;HDNails;"Gelac color 130

Gelac color 130 - Smalto semipermanente Verde Militare super coprente e ultra pigmentato! HD Nails propone una vasta gamma di colori in un nuovissimo formato da 10 ml. Per un ottima copertura e tenuta duratura applicare il color Gelac sopra la Base e sigillare con il Top. I prodotti Gelac Color sono facilmente solubili con l'uso del Remover Il trattamento di manicure con lo smalto semipermanente gelac color 130 è un ottimo metodo da utilizzare per eseguire la manicure duratura e brillante. Lo smalto semipermanente con il gelac color può essere utilizzato sulle unghie naturali e non necessità della limatura dell'unghia naturale  durante la fase di preparazione ne durante la fase di rimozione. Si si può rimuovere con l'impacco. Tempo di rimozione 15 min.
Modalità di applicazione:

Spingere indietro le cuticole delicatamente per facilitare la manicure utilizza un ammorbidente cuticole  Cuticle Remover Sgrassare l'unghia naturale con un pad imbevuto di deidratante Nail Prep Deidratante e applicare la base di adesione Base Proteina Primer 15ml asciugare all'aria 30sec e stendere la base del semipermanente BASE GELAC CHERATINA 14ml. Applicare il Gelac  color semipermanente e sigillare con il lucido Shine On Lucido senza dispersione Hd Nails formato 10ml nuova consistenza cremosa molto pigmentato coprente con una passata ottimo da utilizzare sia come semipermanente sopra la base  BASE GELAC CHERATINA 14ml  che sopra il gel costruttore monofasico  Milk pink Monofasico Cheratina
Polimerizza in

lampada led uv 48w 60sec LAMPADA UVLED lampada uv 36 w 120 sec

Smalto semipermanente per l'uso professionale";;https://www.hdnails.it/smalto-semipermanente-gelac-color-130;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_69608cbdcbc85_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_69608cbe052fa_1.jpg;2
gelac-color-42;Smalto Semipermanente Gelac Color 42;4.99;InStock;smalti-semipermanenti/gelac-colors-smalti-semipermanenti;smalti-semipermanenti | saldi-al-50-e-piu | smalti-semipermanenti/gelac-colors-smalti-semipermanenti | smalti-semipermanenti/viola-lilla | smalti-semipermanenti/vedi-tutti;HDNails;"Gelac color 42

Gelac Color 42 - Smalto semipermanente Incarnato prugna super coprente e ultra pigmentato! HD Nails propone una vasta gamma di colori in un nuovissimo formato da 10 ml. Per un ottima copertura e tenuta duratura applicare il color Gelac sopra la Base e sigillare con il Top. I prodotti Gelac Color sono facilmente solubili con l'uso del Remover Il trattamento di manicure con lo smalto Gelac  Incarnato prugna è un ottimo metodo da utilizzare per eseguire la manicure duratura e brillante. Lo smalto semipermanente con il gelac color può essere utilizzato sulle unghie naturali e non necessità della limatura dell'unghia naturale  durante la fase di preparazione ne durante la fase di rimozione. Si si può rimuovere con l'impacco. Tempo di rimozione 15 min.
Modalità di applicazione:

Spingere indietro le cuticole delicatamente per facilitare la manicure utilizza un ammorbidente cuticole  Cuticle Remover Sgrassare l'unghia naturale con un pad imbevuto di deidratante Nail Prep Deidratante e applicare la base di adesione Base Proteina Primer 15ml asciugare all'aria 30sec e stendere la base del semipermanente BASE GELAC CHERATINA 14ml. Applicare il colore semipermanente e sigillare con il lucido Shine On Lucido senza dispersione Hd Nails formato 10ml nuova consistenza cremosa molto pigmentato coprente con una passata ottimo da utilizzare sia come semipermanente sopra la base  BASE GELAC CHERATINA 14ml  che sopra il gel costruttore monofasico  MILK PINK MONOFASICO CHERATINA   Polimerizza in lampada led uv 48w 60sec LAMPADA UVLED lampada uv 36 w 120 sec

Smalto semipermanente per l'uso professionale";;https://www.hdnails.it/smalto-semipermanente-gelac-color-42;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_69608cc3b87df_1.jpg | https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_69608cc3e702c_1.jpg;2
gel-monofasico-unifast;Gel Monofasico Unifast;25.62;InStock;gel-da-ricostruzione/gel-trasparenti-costruttori;gel-da-ricostruzione | lucidi-top-gloss | gel-da-ricostruzione/gel-trasparenti-costruttori | lucido-finale/lucidi-classici;HDNails;"Gel monofasico Unifast

Gel monofasico Unifast - Uv led Monofasico. Base, costruttore, builder, lucido.

Questo gel base ottima adesione con l'unghia naturale, builder gel adatto alla ricostruzione con Nail Form e Tip, sigillante ULTRA lucido di colore viola trasparente. Consigliato come base, builder sigillante e chiusura french, auto livellante, filtro antingiallente
Modo d'utilizzo:

Dopo aver fatto la manicure e spruzzato il Nail Prep (deidratante) Utilizzare il Primer Acido per rendere l'unghia più aderente. Se dovete fare un refil o copertura gel, stendere il Gel monobasico unifast Auto livellante a stratto sottile e catalizzarlo. Utilizzate un Pennello nr 6, come per esempio Oval plus , è un pennello in setola naturale ovale. Perfetto per avvicinarsi alle cuticole senza toccarle.

Altrimenti posizionate le vostre nails form o tips.

Dopo di che sulla dispersione fare la vostra bombata o ricostruzione.

Vi consiglio di utilizzare la nostra lima di grana 150/180 che non è tanto aggressiva per poter dare bene la vostra forma preferita. dopo che avete sgrassato e opacizzato  potete stendere il vostro colore gel o smalto semipermanente a vostro gradimento.

Consigliamo di sigillare il colore con un stratto di gel per dare più resistenza al vostro ritocco gel o ricostruzione.

Dopo potete decidere se chiudere con il gel Unifast ( Non più di 70 secondi in  lamp Led) altrimenti anche con un lucido a smalto. Come per esempio Perfect gloss oppure il Shin on un lucido senza dispersione
Caratteristiche:

Barattolo 7,15 e 50ml

Polimerizza

Lampada UV 120 sec.

Lampada Led 60 sec.

Pincing dopo 30 sec. e mantiene forma C.";;https://www.hdnails.it/gel-monofasico-unifast;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_69608cc9377f8.png;1
gel-monofasico-transparent-blue-kit-3pz;Gel Monofasico Transparent Blue Kit 3Pz - Gel Costruttore;60.492;InStock;kit-hdnails-in-offerta/kit-ricostruzione-kit-hdnails-in-offerta;promozioni-del-mese | kit-hdnailsr-in-offerta | gel-da-ricostruzione | kit-hdnails-in-offerta/kit-ricostruzione-kit-hdnails-in-offerta | gel-da-ricostruzione/gel-trasparenti-costruttori;HDNails;"Gel Monofasico Transparent Blue Kit

Gel Monofasico Transparent blue - Questo gel  di Media densità, anti giallo ha un'ottima adesione sull'unghia naturale. Non brucia durante la polimerizzazione! Adatto a coperture, Refil e Ricostruzione. Il gel  Trasparent Blue è un gel Auto livellante. Consigliato per unghie sensibili. Colore Azzurro trasparente. Inoltre non provoca calore durante la polimerizzazione Può essere utilizzato come base, ricostruzione Eccellente base ad altissima tenuta. Da applicare dopo il Primer Acido Potete anche utilizzare prima il Base Gelac Cheratina. E'una base gel eccezionale che serve per migliorare l'adesione del gel costruttore. Da applicare dopo il primer e/o base proteina se è  necessario . Garantisce una lunga durata alla ricostruzione delle unghie senza far comparire le bolle d'aria e creare i sollevamenti tra l'unghia naturale e il gel base costruttore e monofasico. Ottimo come base per il semipermanente prima di applicare lo smalto semipermanente colorato
Caratteristiche:

Barattolo 5 o 50ml Polimerizza in 180 sec lamp UV Polimerizza in 90 sec lamp UV&LED";;https://www.hdnails.it/gel-monofasico-transparent-blue-kit-3pz-gel-costruttore;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_69608cdf1e159_1.jpg;1
